pair_id,run_seed,pair_seed,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,202,20200606,pair000_reference.png,pair000_search.png,dram,sem,693.13,458.96,693.09,458.9,0.0721,1.9476,0.581,0.9989,0.1048,1
1,202,20200607,pair001_reference.png,pair001_search.png,finfet,sem,574.36,306.88,574.29,306.91,0.0762,1.9448,-0.787,0.9872,0.2262,0
2,202,20200608,pair002_reference.png,pair002_search.png,dram,sem,360.56,271.09,360.62,271.15,0.0849,1.9576,0.605,1.0065,0.1195,1
3,202,20200609,pair003_reference.png,pair003_search.png,finfet,sem,522.25,275.64,522.12,275.72,0.1526,1.9454,0.306,1.0141,0.0226,0
4,202,20200610,pair004_reference.png,pair004_search.png,dram,sem,285.46,318.96,285.58,319.14,0.2163,1.9362,0.417,1.0251,0.2426,1
5,202,20200611,pair005_reference.png,pair005_search.png,finfet,sem,415.84,648.1,415.86,648.13,0.0361,1.9466,-0.012,1.0197,0.1171,0
6,202,20200612,pair006_reference.png,pair006_search.png,dram,sem,353.72,251.82,353.87,251.78,0.1552,1.9501,1.161,1.028,0.067,0
7,202,20200613,pair007_reference.png,pair007_search.png,finfet,sem,719.72,458.55,719.74,458.5,0.0539,1.9796,-1.152,1.0079,0.2215,1
8,202,20200614,pair008_reference.png,pair008_search.png,dram,sem,515.34,611.38,515.29,611.36,0.0539,1.95,-1.145,0.9894,0.2021,0
9,202,20200615,pair009_reference.png,pair009_search.png,finfet,sem,463.32,376.88,463.26,376.84,0.0721,1.9425,0.345,0.9947,0.1012,0
10,202,20200616,pair010_reference.png,pair010_search.png,dram,sem,369.63,521.17,369.69,521.21,0.0721,1.9566,-0.872,0.9851,0.251,0
11,202,20200617,pair011_reference.png,pair011_search.png,finfet,sem,737.01,332.22,737.13,332.23,0.1204,2.0039,-0.745,1.0192,0.1381,0
12,202,20200618,pair012_reference.png,pair012_search.png,dram,sem,209.51,273.19,835.65,631.1,721.2149,1.9579,-0.315,1.0099,0.1019,0
13,202,20200619,pair013_reference.png,pair013_search.png,finfet,sem,216.52,266.49,216.62,266.48,0.1005,1.9483,-1.326,1.0255,0.0469,0
14,202,20200620,pair014_reference.png,pair014_search.png,dram,sem,515.76,720.66,515.7,720.65,0.0608,1.9485,1.013,1.0203,0.025,1
15,202,20200621,pair015_reference.png,pair015_search.png,finfet,sem,423.39,604.18,423.37,604.27,0.0922,1.9521,0.453,1.0204,0.071,0
16,202,20200622,pair016_reference.png,pair016_search.png,dram,sem,657.15,257.92,657.08,257.86,0.0922,1.9478,-1.186,0.9925,0.1784,1
17,202,20200623,pair017_reference.png,pair017_search.png,finfet,sem,217.34,641.05,217.34,641.12,0.07,1.9505,1.164,0.9857,0.2081,1
18,202,20200624,pair018_reference.png,pair018_search.png,dram,sem,722.44,750.32,722.39,750.36,0.064,1.9561,1.353,1.0104,0.1803,0
19,202,20200625,pair019_reference.png,pair019_search.png,finfet,sem,440.14,562.24,440.16,562.67,0.4305,1.9445,0.771,0.975,0.066,0
20,202,20200626,pair020_reference.png,pair020_search.png,dram,sem,706.66,735.49,706.67,735.53,0.0412,3.0825,0.465,1.0211,0.0848,0
21,202,20200627,pair021_reference.png,pair021_search.png,finfet,sem,730.83,441.57,730.83,441.5,0.07,3.1128,-1.192,0.9821,0.0803,1
22,202,20200628,pair022_reference.png,pair022_search.png,dram,sem,692.52,423.96,692.48,423.96,0.04,3.0464,-0.183,1.0153,0.188,0
23,202,20200629,pair023_reference.png,pair023_search.png,finfet,sem,612.16,661.48,614.98,657.06,5.243,3.0068,0.481,0.9926,0.1681,0
24,202,20200630,pair024_reference.png,pair024_search.png,dram,sem,633.18,633.43,633.2,633.34,0.0922,2.9907,0.139,1.0181,0.1351,1
25,202,20200631,pair025_reference.png,pair025_search.png,finfet,sem,638.0,412.05,638.0,412.07,0.02,3.0213,-0.62,1.0265,0.0308,0
26,202,20200632,pair026_reference.png,pair026_search.png,dram,sem,444.62,526.94,444.54,526.96,0.0825,3.1027,-0.216,0.974,0.0468,0
27,202,20200633,pair027_reference.png,pair027_search.png,finfet,sem,565.92,783.4,565.96,783.38,0.0447,3.1381,0.601,1.0173,0.2295,0
28,202,20200634,pair028_reference.png,pair028_search.png,dram,sem,302.09,257.55,302.08,257.59,0.0412,3.1283,0.025,1.0196,0.1534,0
29,202,20200635,pair029_reference.png,pair029_search.png,finfet,sem,643.84,547.09,643.77,547.25,0.1746,3.2177,-1.295,0.9739,0.108,0
