pair_id,run_seed,pair_seed,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,101,10100303,pair000_reference.png,pair000_search.png,dram,sem,705.44,626.09,705.28,626.11,0.1612,1.8029,-0.128,0.9873,0.0,0
1,101,10100304,pair001_reference.png,pair001_search.png,finfet,sem,643.81,424.72,643.84,424.76,0.05,1.8061,-1.497,0.9907,0.0,0
2,101,10100305,pair002_reference.png,pair002_search.png,dram,sem,518.85,546.58,518.82,546.61,0.0424,1.7794,-0.391,0.983,0.0,0
3,101,10100306,pair003_reference.png,pair003_search.png,finfet,sem,717.32,592.7,717.33,592.71,0.0141,1.687,0.973,1.0092,0.0,0
4,101,10100307,pair004_reference.png,pair004_search.png,dram,sem,725.83,234.21,725.82,234.2,0.0141,1.6224,-1.166,1.0068,0.0,0
5,101,10100308,pair005_reference.png,pair005_search.png,finfet,sem,591.79,547.59,592.14,505.75,41.8415,1.794,-0.521,1.019,0.0,0
6,101,10100309,pair006_reference.png,pair006_search.png,dram,sem,557.52,521.82,557.65,521.93,0.1703,1.7028,1.065,0.9741,0.0,0
7,101,10100310,pair007_reference.png,pair007_search.png,finfet,sem,329.37,289.98,329.38,289.94,0.0412,1.7072,0.11,1.0028,0.0,1
8,101,10100311,pair008_reference.png,pair008_search.png,dram,sem,209.88,656.04,209.78,656.04,0.1,1.7221,-0.961,1.0126,0.0,0
9,101,10100312,pair009_reference.png,pair009_search.png,finfet,sem,691.27,288.23,691.29,288.1,0.1315,1.7394,0.131,0.9727,0.0,1
10,101,10100313,pair010_reference.png,pair010_search.png,dram,sem,777.73,582.07,782.16,813.94,231.9123,1.6902,0.535,0.9773,0.0,0
11,101,10100314,pair011_reference.png,pair011_search.png,finfet,sem,267.98,751.78,267.85,751.84,0.1432,1.6928,-1.104,1.0295,0.0,0
12,101,10100315,pair012_reference.png,pair012_search.png,dram,sem,785.49,398.93,789.14,107.07,291.8828,1.7091,-0.72,0.9954,0.0,0
13,101,10100316,pair013_reference.png,pair013_search.png,finfet,sem,655.23,497.51,655.28,497.56,0.0707,1.6898,-1.452,1.0081,0.0,1
14,101,10100317,pair014_reference.png,pair014_search.png,dram,sem,516.29,337.11,516.32,337.13,0.0361,1.716,-1.045,0.9778,0.0,1
15,101,10100318,pair015_reference.png,pair015_search.png,finfet,sem,354.9,207.17,354.97,207.13,0.0806,1.6797,-1.337,1.0202,0.0,0
16,101,10100319,pair016_reference.png,pair016_search.png,dram,sem,369.65,638.78,369.64,638.79,0.0141,1.7178,-0.175,0.9741,0.0,0
17,101,10100320,pair017_reference.png,pair017_search.png,finfet,sem,481.53,373.01,481.49,373.03,0.0447,1.6624,-0.513,0.9927,0.0,1
18,101,10100321,pair018_reference.png,pair018_search.png,dram,sem,446.02,520.95,446.07,520.96,0.051,1.6514,1.044,1.0042,0.0,1
19,101,10100322,pair019_reference.png,pair019_search.png,finfet,sem,577.35,680.45,577.23,680.26,0.2247,1.6722,-1.02,0.9704,0.0,0
20,101,10100323,pair020_reference.png,pair020_search.png,dram,sem,611.16,661.82,611.11,661.71,0.1208,1.665,0.267,1.0059,0.0,1
21,101,10100324,pair021_reference.png,pair021_search.png,finfet,sem,705.85,337.44,706.02,337.46,0.1712,1.6794,-0.811,1.002,0.0,1
22,101,10100325,pair022_reference.png,pair022_search.png,dram,sem,459.02,705.68,459.03,705.8,0.1204,1.7028,-0.186,1.0015,0.0,1
23,101,10100326,pair023_reference.png,pair023_search.png,finfet,sem,547.5,638.94,547.51,638.97,0.0316,1.7181,-0.543,0.9813,0.0,0
24,101,10100327,pair024_reference.png,pair024_search.png,dram,sem,284.23,636.62,284.36,636.59,0.1334,1.6119,0.408,1.0175,0.0,1
25,101,10100328,pair025_reference.png,pair025_search.png,finfet,sem,471.42,203.32,471.5,203.31,0.0806,1.6867,-0.265,1.0239,0.0,1
26,101,10100329,pair026_reference.png,pair026_search.png,dram,sem,534.05,212.45,532.85,328.89,116.4462,1.6227,-0.543,1.0026,0.0,1
27,101,10100330,pair027_reference.png,pair027_search.png,finfet,sem,617.22,476.45,617.23,476.43,0.0224,1.6373,0.35,0.9821,0.0,0
28,101,10100331,pair028_reference.png,pair028_search.png,dram,sem,370.48,531.68,391.89,531.86,21.4108,1.6484,-0.566,0.9948,0.0,0
29,101,10100332,pair029_reference.png,pair029_search.png,finfet,sem,634.4,325.77,634.27,325.84,0.1476,1.6545,0.118,1.0019,0.0,0
