pair_id,run_seed,pair_seed,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,42,4200126,pair000_reference.png,pair000_search.png,dram,sem,367.94,614.36,367.98,614.35,0.0412,1.8489,0.282,0.9761,0.0,1
1,42,4200127,pair001_reference.png,pair001_search.png,finfet,sem,564.85,337.43,564.8,337.57,0.1487,1.8775,1.302,0.9702,0.0,0
2,42,4200128,pair002_reference.png,pair002_search.png,dram,sem,643.58,666.87,643.66,666.79,0.1131,1.6927,0.338,0.9902,0.0,0
3,42,4200129,pair003_reference.png,pair003_search.png,finfet,sem,287.65,456.54,391.88,454.81,104.2444,1.6642,1.039,0.9703,0.0,1
4,42,4200130,pair004_reference.png,pair004_search.png,dram,sem,417.57,681.31,417.36,834.15,152.8401,1.6319,-0.098,1.0201,0.0,1
5,42,4200131,pair005_reference.png,pair005_search.png,finfet,sem,788.98,498.51,789.07,498.58,0.114,1.7226,-0.256,1.0117,0.0,1
6,42,4200132,pair006_reference.png,pair006_search.png,dram,sem,636.27,270.16,636.22,270.18,0.0539,1.8113,0.754,0.9861,0.0,0
7,42,4200133,pair007_reference.png,pair007_search.png,finfet,sem,543.3,586.45,543.25,586.45,0.05,1.7694,-0.512,0.9766,0.0,0
8,42,4200134,pair008_reference.png,pair008_search.png,dram,sem,333.94,729.29,333.97,729.28,0.0316,1.7582,-0.313,1.0157,0.0,0
9,42,4200135,pair009_reference.png,pair009_search.png,finfet,sem,655.91,784.7,655.74,550.98,233.7201,1.7481,0.047,1.025,0.0,0
10,42,4200136,pair010_reference.png,pair010_search.png,dram,sem,449.99,460.01,449.98,460.06,0.051,1.7519,0.836,1.0242,0.0,1
11,42,4200137,pair011_reference.png,pair011_search.png,finfet,sem,320.35,483.16,320.26,483.11,0.103,1.7045,-1.38,0.9911,0.0,0
12,42,4200138,pair012_reference.png,pair012_search.png,dram,sem,522.11,219.09,522.12,219.08,0.0141,1.6836,0.878,1.0257,0.0,1
13,42,4200139,pair013_reference.png,pair013_search.png,finfet,sem,455.52,301.21,473.15,301.65,17.6355,1.6329,-1.18,1.0198,0.0,0
14,42,4200140,pair014_reference.png,pair014_search.png,dram,sem,390.3,524.41,238.93,527.05,151.393,1.5893,1.001,0.9831,0.0,0
15,42,4200141,pair015_reference.png,pair015_search.png,finfet,sem,697.43,430.5,582.17,67.04,381.2978,1.6412,-0.112,1.0092,0.0,1
16,42,4200142,pair016_reference.png,pair016_search.png,dram,sem,557.56,613.94,557.7,613.86,0.1612,1.6814,-0.395,1.0059,0.0,0
17,42,4200143,pair017_reference.png,pair017_search.png,finfet,sem,525.26,266.19,525.25,266.17,0.0224,1.6722,0.132,1.0269,0.0,1
18,42,4200144,pair018_reference.png,pair018_search.png,dram,sem,706.41,230.53,706.4,230.46,0.0707,1.6801,-1.119,1.0189,0.0,0
19,42,4200145,pair019_reference.png,pair019_search.png,finfet,sem,547.5,781.3,547.45,781.2,0.1118,1.6455,0.687,1.0291,0.0,0
20,42,4200146,pair020_reference.png,pair020_search.png,dram,sem,415.91,447.55,415.94,447.52,0.0424,1.7021,0.751,1.0032,0.0,0
21,42,4200147,pair021_reference.png,pair021_search.png,finfet,sem,724.1,725.32,723.96,772.23,46.9102,1.6729,-0.09,1.029,0.0,0
22,42,4200148,pair022_reference.png,pair022_search.png,dram,sem,579.77,278.81,579.74,278.78,0.0424,1.6908,-1.095,0.9793,0.0,0
23,42,4200149,pair023_reference.png,pair023_search.png,finfet,sem,680.94,525.42,752.74,525.0,71.8012,1.5845,0.311,0.9962,0.0,1
24,42,4200150,pair024_reference.png,pair024_search.png,dram,sem,754.1,212.02,754.12,212.03,0.0224,1.6264,1.457,0.9918,0.0,0
25,42,4200151,pair025_reference.png,pair025_search.png,finfet,sem,679.84,486.54,679.86,486.69,0.1513,1.6503,-0.903,0.9875,0.0,1
26,42,4200152,pair026_reference.png,pair026_search.png,dram,sem,386.9,315.01,386.89,315.0,0.0141,1.6092,-1.487,0.9999,0.0,0
27,42,4200153,pair027_reference.png,pair027_search.png,finfet,sem,577.87,777.83,577.87,777.77,0.06,1.7015,-1.401,0.9799,0.0,0
28,42,4200154,pair028_reference.png,pair028_search.png,dram,sem,529.15,555.12,529.17,555.13,0.0224,1.6577,1.456,0.995,0.0,1
29,42,4200155,pair029_reference.png,pair029_search.png,finfet,sem,252.78,510.37,811.06,740.16,603.7218,1.7274,-1.155,1.0153,0.0,0
