pair_id,reference,search,style,modality,true_center_x,true_center_y,pred_x,pred_y,error_px,time_s,rotation_deg,scale_jitter,pv_amplitude,on_mat_boundary
0,pair000_reference.png,pair000_search.png,dram,sem,693.13,458.96,693.09,458.9,0.0721,1.9476,0.581,0.9989,0.1048,1
1,pair001_reference.png,pair001_search.png,finfet,sem,574.36,306.88,574.29,306.91,0.0762,1.9448,-0.787,0.9872,0.2262,0
2,pair002_reference.png,pair002_search.png,dram,sem,360.56,271.09,360.62,271.15,0.0849,1.9576,0.605,1.0065,0.1195,1
3,pair003_reference.png,pair003_search.png,finfet,sem,522.25,275.64,522.12,275.72,0.1526,1.9454,0.306,1.0141,0.0226,0
4,pair004_reference.png,pair004_search.png,dram,sem,285.46,318.96,285.58,319.14,0.2163,1.9362,0.417,1.0251,0.2426,1
5,pair005_reference.png,pair005_search.png,finfet,sem,415.84,648.1,415.86,648.13,0.0361,1.9466,-0.012,1.0197,0.1171,0
6,pair006_reference.png,pair006_search.png,dram,sem,353.72,251.82,353.87,251.78,0.1552,1.9501,1.161,1.028,0.067,0
7,pair007_reference.png,pair007_search.png,finfet,sem,719.72,458.55,719.74,458.5,0.0539,1.9796,-1.152,1.0079,0.2215,1
8,pair008_reference.png,pair008_search.png,dram,sem,515.34,611.38,515.29,611.36,0.0539,1.95,-1.145,0.9894,0.2021,0
9,pair009_reference.png,pair009_search.png,finfet,sem,463.32,376.88,463.26,376.84,0.0721,1.9425,0.345,0.9947,0.1012,0
10,pair010_reference.png,pair010_search.png,dram,sem,369.63,521.17,369.69,521.21,0.0721,1.9566,-0.872,0.9851,0.251,0
11,pair011_reference.png,pair011_search.png,finfet,sem,737.01,332.22,737.13,332.23,0.1204,2.0039,-0.745,1.0192,0.1381,0
12,pair012_reference.png,pair012_search.png,dram,sem,209.51,273.19,835.65,631.1,721.2149,1.9579,-0.315,1.0099,0.1019,0
13,pair013_reference.png,pair013_search.png,finfet,sem,216.52,266.49,216.62,266.48,0.1005,1.9483,-1.326,1.0255,0.0469,0
14,pair014_reference.png,pair014_search.png,dram,sem,515.76,720.66,515.7,720.65,0.0608,1.9485,1.013,1.0203,0.025,1
15,pair015_reference.png,pair015_search.png,finfet,sem,423.39,604.18,423.37,604.27,0.0922,1.9521,0.453,1.0204,0.071,0
16,pair016_reference.png,pair016_search.png,dram,sem,657.15,257.92,657.08,257.86,0.0922,1.9478,-1.186,0.9925,0.1784,1
17,pair017_reference.png,pair017_search.png,finfet,sem,217.34,641.05,217.34,641.12,0.07,1.9505,1.164,0.9857,0.2081,1
18,pair018_reference.png,pair018_search.png,dram,sem,722.44,750.32,722.39,750.36,0.064,1.9561,1.353,1.0104,0.1803,0
19,pair019_reference.png,pair019_search.png,finfet,sem,440.14,562.24,440.16,562.67,0.4305,1.9445,0.771,0.975,0.066,0
